"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_6541","","hypothetical protein","9","2","10","255","47.368421052631575","99.22178988326849","114.75","2.1131041749843571e-10","1.3572256805507027e-05","6.786128402753513e-06","10","9","1","0.021484374999999997","0.021484374999999997"
"casC","","CRISPR system Cascade subunit CasC","9","2","10","255","47.368421052631575","99.22178988326849","114.75","2.1131041749843571e-10","1.3572256805507027e-05","6.786128402753513e-06","10","9","1","0.021484374999999997","0.021484374999999997"
"ygcB","","hypothetical protein","9","4","10","253","47.368421052631575","98.44357976653697","56.925","2.5635927394515735e-09","0.0001646569980622351","5.488566602074503e-05","11","9","3","0.06542968749999997","0.22656250000000003"
"ygbT","","CRISPR-associated endonuclease Cas1","8","2","11","255","42.10526315789473","99.22178988326849","92.72727272727273","4.1880556507853025e-09","0.0002689946263942892","6.72486565985723e-05","9","8","2","0.0390625","0.17968750000000003"
"group_2450","","hypothetical protein","13","32","6","225","68.42105263157895","87.54863813229572","15.234375","1.4761900590741786e-07","0.009481421130427542","0.0018962842260855084","11","9","4","0.06542968749999997","0.548828125"
"group_10080","","hypothetical protein","5","0","14","257","26.31578947368421","100.0","inf","9.035711987157488e-07","0.05803547452231383","0.00644838605803487","5","5","0","0.0625","0.0625"
"cas2","","CRISPR-associated endoribonuclease Cas2","5","0","14","257","26.31578947368421","100.0","inf","9.035711987157488e-07","0.05803547452231383","0.00644838605803487","5","5","0","0.0625","0.0625"
"group_9899","","hypothetical protein","5","0","14","257","26.31578947368421","100.0","inf","9.035711987157488e-07","0.05803547452231383","0.00644838605803487","5","5","0","0.0625","0.0625"
"cas5d","","CRISPR pre-crRNA endoribonuclease Cas5d","5","0","14","257","26.31578947368421","100.0","inf","9.035711987157488e-07","0.05803547452231383","0.00644838605803487","5","5","0","0.0625","0.0625"
"group_2430","","hypothetical protein","12","32","7","225","63.1578947368421","87.54863813229572","12.053571428571429","1.436475599972578e-06","0.09226339131063872","0.009226339131063872","15","10","7","0.30175781250000017","0.9999999999999997"
